國曆生日,月日,瑪雅生日,瑪雅月,瑪雅週,七價路徑,等離子日,矩陣位置,PSI印記,對應印記,Vinal 肯定句,七價路徑,祈禱文,判斷,烏爾諧波盧恩符文代號,瑪雅週,關鍵句
08月11日,08/11,01.17,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","GAMMA 17
眉心輪(平靜)",V3:H15,12,水晶黃人,1 Pop:知者,"紅色17
黃種子→藍鷹",覺知進化了視野,1,081,,
08月12日,08/12,01.18,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","KALI 18
臍輪(建立)",V4:H15,13,宇宙紅天行者,1 Pop:知者,"白色18
黃種子→黃戰士",覺知進化了智能,1,082,,
08月13日,08/13,01.19,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","ALPHA 19
喉輪(釋放)",V5:H15,14,磁性白巫師,1 Pop:知者,"藍色19
白巫師→黃戰士",永恆喚醒了智能,1,083,,
08月14日,08/14,01.20,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","LIMI 20 
胃輪(淨化)",V6:H15,15,月亮藍鷹,1 Pop:知者,"黃色20
藍鷹→黃戰士",視野傳送了智能,1,084,,
08月15日,08/15,01.21,磁性蝙蝠之月,藍色蛻變之週,"藍色03
紅龍→藍手","SILIO 21
心輪(發射)",V7:H15,16,電力黃戰士,2 UOo:在寂靜中聆聽,"紅色21
白鏡→藍手",靜心進化了知識,1,085,,
08月16日,08/16,01.22,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","DALI 22
頂輪(目標)",V15:H15,17,自我存在紅地球,2 UOo:在寂靜中聆聽,"白色22
藍風暴→白狗",自然運生進化了愛,1,086,,
08月17日,08/17,01.23,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","SELI 23
海底輪(流動)",V16:H15,241,共振紅龍,2 UOo:在寂靜中聆聽,"藍色23
黃太陽→紅天行者",證悟進化了預言,1,087,,
08月18日,08/18,01.24,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","GAMMA 24
眉心輪(平靜)",V17:H15,241,共振紅龍,2 UOo:在寂靜中聆聽,"黃色24
紅地球→黃戰士",導航進化了智能,1,088,,
08月19日,08/19,01.25,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","KALI 25
臍輪(建立)",V18:H15,241,共振紅龍,2 UOo:在寂靜中聆聽,"紅色25
紅地球→白鏡",導航共時了靜心,1,089,,
08月20日,08/20,01.26,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","ALPHA 26
喉輪(釋放)",V19:H15,260,宇宙黃太陽,2 UOo:在寂靜中聆聽,"白色26
白鏡→藍風暴",靜心反映了自然運生,1,090,,
08月21日,08/21,01.27,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","LIMI 27 
胃輪(淨化)",V20:H15,260,宇宙黃太陽,2 UOo:在寂靜中聆聽,"藍色27
藍風暴→黃太陽",自然運生促進證悟的催化,1,091,,
08月22日,08/22,01.28,磁性蝙蝠之月,黃色收穫之週,"黃色04
紅蛇→藍手","SILIO 28
心輪(發射)",V21:H15,260,宇宙黃太陽,2 UOo:在寂靜中聆聽,"黃色28
黃太陽→紅地球",證悟啟發了導航,1,092,,
08月23日,08/23,02.01,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","DALI 01
頂輪(目標)",V1:H2,22,太陽白風,2 UOo:在寂靜中聆聽,"紅色29
Hunab Ku→紅地球",銀河中心Hunab Ku傳送導航,1,093,,
08月24日,08/24,02.02,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","SELI 02
海底輪(流動)",V2:H2,22,太陽白風,2 UOo:在寂靜中聆聽,"白色30
Hunab Ku→白鏡",銀河中心Hunab Ku傳送靜心,1,094,,
08月25日,08/25,02.03,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","GAMMA 03
眉心輪(平靜)",V3:H2,22,太陽白風,2 UOo:在寂靜中聆聽,"藍色31
Hunab Ku→藍風暴",銀河中心Hunab Ku傳送自然運生,1,095,,
08月26日,08/26,02.04,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","KALI 04 
臍輪(建立)",V4:H2,39,宇宙藍風暴,2 UOo:在寂靜中聆聽,"黃色32
Hunab Ku→黃太陽",銀河中心Hunab Ku傳送證悟,1,096,,
08月27日,08/27,02.05,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","ALPHA 05
喉輪(釋放)",V5:H2,39,宇宙藍風暴,2 UOo:在寂靜中聆聽,"紅色33
紅蛇→紅地球",性為導航充電,1,097,,
08月28日,08/28,02.06,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","LIMI 06 
胃輪(淨化)",V6:H2,39,宇宙藍風暴,2 UOo:在寂靜中聆聽,"白色34
紅地球→黃人",導航為智慧充電,1,098,,
08月29日,08/29,02.07,月亮蠍子之月,紅色啟動之週,"紅色05
白世界橋→藍手","SILIO 07
心輪(發射)",V7:H2,18,超頻白鏡,2 UOo:在寂靜中聆聽,"藍色35
白世界橋→藍風暴",死亡為自然運生充電,1,099,,
08月30日,08/30,02.08,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","DALI 08
頂輪(目標)",V15:H2,19,韻律藍風暴,2 UOo:在寂靜中聆聽,"黃色36
藍風暴→藍猴",自然運生為魔法充電,1,100,,
08月31日,08/31,02.09,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","SELI 09
海底輪(流動)",V16:H2,21,銀河星系紅龍,2 UOo:在寂靜中聆聽,"紅色37
黃星星→白鏡",藝術穩定了靜心,1,101,,
09月01日,09/01,02.10,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","GAMMA 10
眉心輪(平靜)",V17:H2,23,行星藍夜,2 UOo:在寂靜中聆聽,"白色38
白鏡→藍鷹",靜心穩定了視野,1,102,,
09月02日,09/02,02.11,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","KALI 11
臍輪(建立)",V18:H2,24,光譜黃種子,2 UOo:在寂靜中聆聽,"藍色39
紅月→黃太陽",淨化穩定了證悟,1,103,,
09月03日,09/03,02.12,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","ALPHA 12
喉輪(釋放)",V19:H2,25,水晶紅蛇,2 UOo:在寂靜中聆聽,"黃色40
黃太陽→白巫師",證悟穩定了永恆,1,104,,
09月04日,09/04,02.13,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","LIMI 13
胃輪(淨化)",V20:H2,26,宇宙白世界橋,3 Zip:為了整合宇宙,"紅色41
紅蛇→藍鷹",性促成視野的光譜化,1,105,,
09月05日,09/05,02.14,月亮蠍子之月,白色淨化之週,"白色06
藍夜→黃星星","SILIO 14
心輪(發射)",V21:H2,27,磁性藍手,3 Zip:為了整合宇宙,"白色42
白世界橋→黃星星",死亡促成藝術的光譜化,1,106,,
09月06日,09/06,02.15,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","DALI 15
頂輪(目標)",V1:H16,28,月亮黃星星,3 Zip:為了整合宇宙,"藍色43
紅月→藍猴",淨化促成魔法的光譜化,1,107,,
09月07日,09/07,02.16,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","SELI 16
海底輪(流動)",V2:H16,29,電力紅月,3 Zip:為了整合宇宙,"黃色44
黃人→白巫師",智慧促成永恆的光譜化,1,108,,
09月08日,09/08,02.17,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","GAMMA 17
眉心輪(平靜)",V3:H16,30,自我存在白狗,3 Zip:為了整合宇宙,"紅色45
白鏡→紅蛇",靜心傳送了對性的反思,1,109,,
09月09日,09/09,02.18,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","KALI 18
臍輪(建立)",V4:H16,31,超頻藍猴,3 Zip:為了整合宇宙,"白色46
白鏡→白世界橋",靜心傳送了對死亡的反思,1,110,,
09月10日,09/10,02.19,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","ALPHA 19
喉輪(釋放)",V5:H16,32,韻律黃人,3 Zip:為了整合宇宙,"藍色47
藍風暴→黃星星",自然運生傳送了對藝術的動能,1,111,,
09月11日,09/11,02.20,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","LIMI 20 
胃輪(淨化)",V6:H16,33,共振紅天行者,3 Zip:為了整合宇宙,"黃色48
藍風暴→紅月",自然運生傳送了對淨化的動能,1,112,,
09月12日,09/12,02.21,月亮蠍子之月,藍色蛻變之週,"藍色07
藍夜→紅月","SILIO 21
心輪(發射)",V7:H16,34,銀河星系白巫師,3 Zip:為了整合宇宙,"紅色49
黃太陽→藍猴",證悟傳送了魔法的宇宙之火,1,065,,
09月13日,09/13,02.22,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","DALI 22
頂輪(目標)",V15:H16,35,太陽藍鷹,3 Zip:為了整合宇宙,"白色50
黃太陽→黃人",證悟傳送了智慧的宇宙之火,1,066,,
09月14日,09/14,02.23,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","SELI 23
海底輪(流動)",V16:H16,222,磁性白風,3 Zip:為了整合宇宙,"藍色51
紅地球→白巫師",導航傳送了永恆的共時性,1,067,,
09月15日,09/15,02.24,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","GAMMA 24
眉心輪(平靜)",V17:H16,222,磁性白風,3 Zip:為了整合宇宙,"黃色52
紅地球→藍鷹",導航傳送了視野的共時性,1,068,,
09月16日,09/16,02.25,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","KALI 25
臍輪(建立)",V18:H16,222,磁性白風,3 Zip:為了整合宇宙,,,1,069,,
09月17日,09/17,02.26,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","ALPHA 26
喉輪(釋放)",V19:H16,239,超頻藍風暴,3 Zip:為了整合宇宙,,,1,070,,
09月18日,09/18,02.27,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","LIMI 27 
胃輪(淨化)",V20:H16,239,超頻藍風暴,3 Zip:為了整合宇宙,,,1,071,,
09月19日,09/19,02.28,月亮蠍子之月,黃色收穫之週,"黃色08
藍夜→白狗","SILIO 28
心輪(發射)",V21:H16,239,超頻藍風暴,3 Zip:為了整合宇宙,,,1,072,,
09月20日,09/20,03.01,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","DALI 01
頂輪(目標)",V1:H3,43,自我存在藍夜,3 Zip:為了整合宇宙,,,1,073,,
09月21日,09/21,03.02,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","SELI 02
海底輪(流動)",V2:H3,43,自我存在藍夜,3 Zip:為了整合宇宙,,,1,074,,
09月22日,09/22,03.03,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","GAMMA 03
眉心輪(平靜)",V3:H3,43,自我存在藍夜,3 Zip:為了整合宇宙,,,1,075,,
09月23日,09/23,03.04,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","KALI 04 
臍輪(建立)",V4:H3,58,韻律白鏡,3 Zip:為了整合宇宙,,,1,076,,
09月24日,09/24,03.05,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","ALPHA 05
喉輪(釋放)",V5:H3,58,韻律白鏡,4 Zotz:以知識為基礎,,,1,077,,
09月25日,09/25,03.06,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","LIMI 06 
胃輪(淨化)",V6:H3,58,韻律白鏡,4 Zotz:以知識為基礎,,,1,078,,
09月26日,09/26,03.07,電力鹿之月,紅色啟動之週,"紅色09
黃星星→白狗","SILIO 07
心輪(發射)",V7:H3,36,行星黃戰士,4 Zotz:以知識為基礎,,,1,079,,
09月27日,09/27,03.08,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","DALI 08
頂輪(目標)",V15:H3,37,光譜紅地球,4 Zotz:以知識為基礎,,,1,080,,
09月28日,09/28,03.09,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","SELI 09
海底輪(流動)",V16:H3,38,水晶白鏡,4 Zotz:以知識為基礎,,,1,081,,
09月29日,09/29,03.10,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","GAMMA 10
眉心輪(平靜)",V17:H3,40,磁性黃太陽,4 Zotz:以知識為基礎,,,1,082,,
09月30日,09/30,03.11,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","KALI 11
臍輪(建立)",V18:H3,41,月亮紅龍,4 Zotz:以知識為基礎,,,1,083,,
10月01日,10/01,03.12,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","ALPHA 12
喉輪(釋放)",V19:H3,42,電力白風,4 Zotz:以知識為基礎,,,1,084,,
10月02日,10/02,03.13,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","LIMI 13
胃輪(淨化)",V20:H3,44,超頻黃種子,4 Zotz:以知識為基礎,,,1,085,,
10月03日,10/03,03.14,電力鹿之月,白色淨化之週,"白色10
紅月→白狗","SILIO 14
心輪(發射)",V21:H3,45,韻律紅蛇,4 Zotz:以知識為基礎,,,1,086,,
10月04日,10/04,03.15,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","DALI 15
頂輪(目標)",V1:H17,46,共振白世界橋,4 Zotz:以知識為基礎,,,1,087,,
10月05日,10/05,03.16,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","SELI 16
海底輪(流動)",V2:H17,47,銀河星系藍手,4 Zotz:以知識為基礎,,,1,088,,
10月06日,10/06,03.17,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","GAMMA 17
眉心輪(平靜)",V3:H17,48,太陽黃星星,4 Zotz:以知識為基礎,,,1,089,,
10月07日,10/07,03.18,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","KALI 18
臍輪(建立)",V4:H17,49,行星紅月,4 Zotz:以知識為基礎,,,1,090,,
10月08日,10/08,03.19,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","ALPHA 19
喉輪(釋放)",V5:H17,52,宇宙黃人,4 Zotz:以知識為基礎,,,1,091,,
10月09日,10/09,03.20,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","LIMI 20 
胃輪(淨化)",V6:H17,53,磁性紅天行者,4 Zotz:以知識為基礎,,,1,092,,
10月10日,10/10,03.21,電力鹿之月,藍色蛻變之週,"藍色11
白風→藍猴","SILIO 21
心輪(發射)",V7:H17,54,月亮白巫師,4 Zotz:以知識為基礎,,,1,093,,
10月11日,10/11,03.22,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","DALI 22
頂輪(目標)",V15:H17,55,電力藍鷹,4 Zotz:以知識為基礎,,,1,094,,
10月12日,10/12,03.23,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","SELI 23
海底輪(流動)",V16:H17,203,銀河星系藍夜,4 Zotz:以知識為基礎,,,1,095,,
10月13日,10/13,03.24,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","GAMMA 24
眉心輪(平靜)",V17:H17,203,銀河星系藍夜,4 Zotz:以知識為基礎,,,1,096,,
10月14日,10/14,03.25,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","KALI 25
臍輪(建立)",V18:H17,203,銀河星系藍夜,5 Zec:到達根基,,,1,097,,
10月15日,10/15,03.26,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","ALPHA 26
喉輪(釋放)",V19:H17,218,行星白鏡,5 Zec:到達根基,,,1,098,,
10月16日,10/16,03.27,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","LIMI 27 
胃輪(淨化)",V20:H17,218,行星白鏡,5 Zec:到達根基,,,1,099,,
10月17日,10/17,03.28,電力鹿之月,黃色收穫之週,"黃色12
白風→黃人","SILIO 28
心輪(發射)",V21:H17,218,行星白鏡,5 Zec:到達根基,,,1,100,,
10月18日,10/18,04.01,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","DALI 01
頂輪(目標)",V1:H4,50,光譜白狗,5 Zec:到達根基,,,1,101,,
10月19日,10/19,04.02,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","SELI 02
海底輪(流動)",V2:H4,50,光譜白狗,5 Zec:到達根基,,,1,102,,
10月20日,10/20,04.03,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","GAMMA 03
眉心輪(平靜)",V3:H4,50,光譜白狗,5 Zec:到達根基,,,1,103,,
10月21日,10/21,04.04,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","KALI 04 
臍輪(建立)",V4:H4,51,水晶藍猴,5 Zec:到達根基,,,1,104,,
10月22日,10/22,04.05,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","ALPHA 05
喉輪(釋放)",V5:H4,51,水晶藍猴,5 Zec:到達根基,,,1,105,,
10月23日,10/23,04.06,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","LIMI 06 
胃輪(淨化)",V6:H4,51,水晶藍猴,5 Zec:到達根基,,,1,106,,
10月24日,10/24,04.07,自我存在貓頭鷹之月,紅色啟動之週,"紅色13
白風→紅天行者","SILIO 07
心輪(發射)",V7:H4,56,自我存在黃戰士,5 Zec:到達根基,,,1,107,,
10月25日,10/25,04.08,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","DALI 08
頂輪(目標)",V15:H4,57,超頻紅地球,5 Zec:到達根基,,,1,108,,
10月26日,10/26,04.09,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","SELI 09
海底輪(流動)",V16:H4,59,共振藍風暴,5 Zec:到達根基,,,1,109,,
10月27日,10/27,04.10,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","GAMMA 10
眉心輪(平靜)",V17:H4,60,銀河星系黃太陽,5 Zec:到達根基,,,1,110,,
10月28日,10/28,04.11,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","KALI 11
臍輪(建立)",V18:H4,61,太陽紅龍,5 Zec:到達根基,,,1,111,,
10月29日,10/29,04.12,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","ALPHA 12
喉輪(釋放)",V19:H4,62,行星白風,5 Zec:到達根基,,,1,112,,
10月30日,10/30,04.13,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","LIMI 13
胃輪(淨化)",V20:H4,63,光譜藍夜,5 Zec:到達根基,,,1,065,,
10月31日,10/31,04.14,自我存在貓頭鷹之月,白色淨化之週,"白色14
藍猴→紅天行者","SILIO 14
心輪(發射)",V21:H4,65,宇宙紅蛇,5 Zec:到達根基,,,1,066,,
11月01日,11/01,04.15,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","DALI 15
頂輪(目標)",V1:H18,66,磁性白世界橋,5 Zec:到達根基,,,1,067,,
11月02日,11/02,04.16,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","SELI 16
海底輪(流動)",V2:H18,67,月亮藍手,5 Zec:到達根基,,,1,068,,
11月03日,11/03,04.17,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","GAMMA 17
眉心輪(平靜)",V3:H18,68,電力黃星星,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,069,,
11月04日,11/04,04.18,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","KALI 18
臍輪(建立)",V4:H18,70,超頻白狗,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,070,,
11月05日,11/05,04.19,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","ALPHA 19
喉輪(釋放)",V5:H18,71,韻律藍猴,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,071,,
11月06日,11/06,04.20,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","LIMI 20 
胃輪(淨化)",V6:H18,73,銀河星系紅天行者,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,072,,
11月07日,11/07,04.21,自我存在貓頭鷹之月,藍色蛻變之週,"藍色15
黃人→紅天行者","SILIO 21
心輪(發射)",V7:H18,74,太陽白巫師,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,073,,
11月08日,11/08,04.22,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","DALI 22
頂輪(目標)",V15:H18,75,行星藍鷹,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,074,,
11月09日,11/09,04.23,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","SELI 23
海底輪(流動)",V16:H18,210,月亮白狗,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,075,,
11月10日,11/10,04.24,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","GAMMA 24
眉心輪(平靜)",V17:H18,210,月亮白狗,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,076,,
11月11日,11/11,04.25,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","KALI 25
臍輪(建立)",V18:H18,210,月亮白狗,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,077,,
11月12日,11/12,04.26,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","ALPHA 26
喉輪(釋放)",V19:H18,211,電力藍猴,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,078,,
11月13日,11/13,04.27,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","LIMI 27 
胃輪(淨化)",V20:H18,211,電力藍猴,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,079,,
11月14日,11/14,04.28,自我存在貓頭鷹之月,黃色收穫之週,"黃色16
黃種子→白巫師","SILIO 28
心輪(發射)",V21:H18,211,電力藍猴,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,080,,
11月15日,11/15,05.01,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","DALI 01
頂輪(目標)",V1:H5,64,水晶黃種子,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,081,,
11月16日,11/16,05.02,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","SELI 02
海底輪(流動)",V2:H5,64,水晶黃種子,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,082,,
11月17日,11/17,05.03,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","GAMMA 03
眉心輪(平靜)",V3:H5,64,水晶黃種子,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,083,,
11月18日,11/18,05.04,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","KALI 04 
臍輪(建立)",V4:H5,77,水晶紅地球,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,084,,
11月19日,11/19,05.05,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","ALPHA 05
喉輪(釋放)",V5:H5,77,水晶紅地球,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,085,,
11月20日,11/20,05.06,超頻孔雀之月,紅色啟動之週,"紅色17
黃種子→藍鷹","LIMI 06 
胃輪(淨化)",V6:H5,77,水晶紅地球,6 Xul:此處，以偉大的智慧種下一顆種子,,,1,086,,
